tconst;titleType;primaryTitle;originalTitle;startYear;score;is_genre_from_selection;is_keywords_from_selection;poster_url;genres
tt0095647;movie;Mississippi Burning;Mississippi Burning;1988;5;2;3;https://m.media-amazon.com/images/M/MV5BZTFjNjU4OTktYzljMS00MmFlLWI3NGEtNjNhMTYwYzUyZDgyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg;['crime', 'drama', 'history']
tt0146309;movie;Thirteen Days;Thirteen Days;2000;5;3;2;https://m.media-amazon.com/images/M/MV5BZDM5NzBkZWMtZDY2Ny00OGMxLTgzMDUtZDZkNzRhM2M5MDIxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;['drama', 'history', 'thriller']
tt0363163;movie;Downfall;Der Untergang;2004;5;3;2;;['biography', 'drama', 'history']
tt0110932;movie;Quiz Show;Quiz Show;1994;5;3;2;;['biography', 'drama', 'history']
tt0433383;movie;Good Night, and Good Luck.;Good Night, and Good Luck.;2005;5;3;2;https://m.media-amazon.com/images/M/MV5BMTY0NzQ2NDg2Ml5BMl5BanBnXkFtZTYwMzcwOTY2._V1_SX300.jpg;['biography', 'drama', 'history']
tt8236336;movie;The Report;The Report;2019;5;2;3;https://m.media-amazon.com/images/M/MV5BZGI3ZGNkOGItNWU3ZS00NDIyLTljZjEtZTk5NzkxMjYwMjEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg;['biography', 'crime', 'drama']
tt0378284;movie;Machuca;Machuca;2004;5;3;2;;['biography', 'drama', 'history']
tt0236784;movie;The Tailor of Panama;The Tailor of Panama;2001;5;2;3;;['comedy', 'drama', 'thriller']
tt0115907;movie;City Hall;City Hall;1996;5;2;3;;['drama', 'thriller']
tt0058083;movie;Fail Safe;Fail Safe;1964;5;2;3;https://m.media-amazon.com/images/M/MV5BNjcyZjA1NzktYmNmYy00M2UwLWFmNTktNzRmNjNiZWUyZGI1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg;['drama', 'thriller', 'war']
tt0089276;movie;The Official Story;La historia oficial;1985;5;2;3;;['drama', 'history', 'war']
tt0060107;movie;Andrei Rublev;Andrey Rublev;1966;5;3;2;https://m.media-amazon.com/images/M/MV5BNjM2MjMwNzUzN15BMl5BanBnXkFtZTgwMjEzMzE5MTE@._V1_SX300.jpg;['biography', 'drama', 'history']
tt0074084;movie;1900;Novecento;1976;5;2;3;;['drama', 'history']
tt0110963;movie;Queen Margot;La Reine Margot;1994;5;3;2;https://m.media-amazon.com/images/M/MV5BNTc4NTdjODgtZmI1MS00MDI5LWFhZjYtMjAzNTVhYzk1ZjFiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg;['biography', 'drama', 'history']
tt0045943;movie;Julius Caesar;Julius Caesar;1953;5;3;2;;['biography', 'drama', 'history']
tt0071935;movie;The Odessa File;The Odessa File;1974;5;2;3;;['drama', 'thriller']
tt3321300;movie;MI-5;Spooks: The Greater Good;2015;5;2;3;;['action', 'drama', 'thriller']
tt0116250;movie;Evita;Evita;1996;5;3;2;;['biography', 'drama', 'history']
tt0455590;movie;The Last King of Scotland;The Last King of Scotland;2006;5;3;2;https://m.media-amazon.com/images/M/MV5BMjM1NTkxNjkzMl5BMl5BanBnXkFtZTgwNDgwMDAxMzE@._V1_SX300.jpg;['biography', 'drama', 'history']
tt4736550;movie;The Great Hack;The Great Hack;2019;5;3;2;;['biography', 'documentary', 'history']
tt3774114;movie;Snowden;Snowden;\N;5;2;3;https://m.media-amazon.com/images/M/MV5BMTg2MzYzNzgzOF5BMl5BanBnXkFtZTgwOTg4NzQ4OTE@._V1_SX300.jpg;['biography', 'crime', 'drama']
tt0096316;movie;Tucker: The Man and His Dream;Tucker: The Man and His Dream;1988;5;2;3;;['biography', 'comedy', 'drama']
tt3268458;movie;The Internet's Own Boy: The Story of Aaron Swartz;The Internet's Own Boy: The Story of Aaron Swartz;2014;5;2;3;;['biography', 'crime', 'documentary']
tt0375920;movie;The Libertine;The Libertine;2004;5;3;2;;['biography', 'drama', 'history']
tt0829459;movie;A Mighty Heart;A Mighty Heart;2007;5;3;2;https://m.media-amazon.com/images/M/MV5BMTg4OTk0NDc3MV5BMl5BanBnXkFtZTcwOTU0ODc0MQ@@._V1_SX300.jpg;['biography', 'drama', 'history']
tt0071970;movie;The Parallax View;The Parallax View;1974;5;2;3;https://m.media-amazon.com/images/M/MV5BMzljZDcyNGEtYWMyOC00MTJmLTljMzEtYmJiZjY1NDA1ZDU4XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg;['drama', 'thriller']
tt0099165;movie;The Bonfire of the Vanities;The Bonfire of the Vanities;1990;5;1;4;;['comedy', 'drama', 'romance']
tt0465538;movie;Michael Clayton;Michael Clayton;2007;5;1;4;;['crime', 'drama', 'mystery']
tt0093640;movie;No Way Out;No Way Out;1987;5;1;4;;['action', 'crime', 'drama']
tt0114272;movie;Restoration;Restoration;1995;5;3;2;;['biography', 'drama', 'history']
tt0309820;movie;Luther;Luther;2003;5;3;2;;['biography', 'drama', 'history']
tt2873282;movie;Red Sparrow;Red Sparrow;2018;5;2;3;https://m.media-amazon.com/images/M/MV5BMTA3MDkxOTc4NDdeQTJeQWpwZ15BbWU4MDAxNzgyNTQz._V1_SX300.jpg;['action', 'drama', 'thriller']
tt4262980;movie;Shin Godzilla;Shin Gojira;2016;5;1;4;;['action', 'adventure', 'drama']
tt0172495;movie;Gladiator;Gladiator;2000;5;1;4;https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg;['action', 'adventure', 'drama']
tt0274711;movie;People I Know;People I Know;2002;5;1;4;;['crime', 'drama']
tt0208874;movie;The Contender;The Contender;2000;5;2;3;;['drama', 'thriller']
tt0313542;movie;Runaway Jury;Runaway Jury;2003;4;2;2;https://m.media-amazon.com/images/M/MV5BOTcwMmE5YWItNDkzMi00Yjk2LTk5ZjItMmY5ZDhhNWE0ZWRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;['crime', 'drama', 'thriller']
tt3569230;movie;Legend;Legend;2015;4;2;2;https://m.media-amazon.com/images/M/MV5BMDQ4MGY0NWUtY2MxOC00YzI5LTg0OTEtZjNmY2Q2ZmM0MTA1XkEyXkFqcGdeQXVyNTQzOTc3MTI@._V1_SX300.jpg;['biography', 'crime', 'drama']
tt4209788;movie;Molly's Game;Molly's Game;2017;4;2;2;https://m.media-amazon.com/images/M/MV5BNTkzMzRlYjEtMTQ5Yi00OWY3LWI0NzYtNGQ4ZDkzZTU0M2IwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg;['biography', 'crime', 'drama']
tt1658801;movie;Freeheld;Freeheld;2015;4;2;2;;['biography', 'drama', 'romance']
tt0104797;movie;Malcolm X;Malcolm X;1992;4;3;1;;['biography', 'drama', 'history']
tt1057500;movie;Invictus;Invictus;2009;4;3;1;https://m.media-amazon.com/images/M/MV5BMjAyMzExMDM1N15BMl5BanBnXkFtZTcwNTcyMTQ5Mg@@._V1_SX300.jpg;['biography', 'drama', 'history']
tt4218572;movie;Widows;Widows;2018;4;2;2;;['crime', 'drama', 'thriller']
tt0120777;movie;The Opposite of Sex;The Opposite of Sex;1997;4;1;3;;['comedy', 'drama', 'romance']
tt2193215;movie;The Counselor;The Counselor;2013;4;2;2;https://m.media-amazon.com/images/M/MV5BMTc3ODk0MTY0N15BMl5BanBnXkFtZTgwOTU2MTEzMDE@._V1_SX300.jpg;['crime', 'drama', 'thriller']
tt0118887;movie;Cop Land;Cop Land;1997;4;2;2;;['crime', 'drama', 'thriller']
tt0109444;movie;Clear and Present Danger;Clear and Present Danger;1994;4;1;3;;['action', 'crime', 'drama']
tt0156934;movie;Random Hearts;Random Hearts;1999;4;1;3;;['drama', 'mystery', 'romance']
tt1139328;movie;The Ghost Writer;The Ghost Writer;2010;4;1;3;https://m.media-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1_SX300.jpg;['crime', 'drama', 'mystery']
tt7668870;movie;Searching;Searching;2018;4;2;2;;['drama', 'mystery', 'thriller']
tt1981128;movie;Geostorm;Geostorm;2017;4;1;3;;['action', 'sci-fi', 'thriller']
tt0106918;movie;The Firm;The Firm;1993;4;2;2;;['drama', 'mystery', 'thriller']
tt0443274;movie;Vantage Point;Vantage Point;2008;4;1;3;https://m.media-amazon.com/images/M/MV5BMTg3MjQ5OTY4M15BMl5BanBnXkFtZTcwNjk1MDU1MQ@@._V1_SX300.jpg;['action', 'crime', 'drama']
tt0047296;movie;On the Waterfront;On the Waterfront;1954;4;2;2;;['crime', 'drama', 'thriller']
tt0097441;movie;Glory;Glory;1989;4;3;1;https://m.media-amazon.com/images/M/MV5BODhlNjA5MDEtZDVhNS00ZmM3LTg1YzAtZGRjNjhjNTAzNzVkXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg;['biography', 'drama', 'history']
tt0116630;movie;Indian;Indian;1996;4;2;2;;['action', 'drama', 'thriller']
tt4807408;movie;The Best of Enemies;The Best of Enemies;2019;4;3;1;https://m.media-amazon.com/images/M/MV5BMjQ5MjA2NDkyM15BMl5BanBnXkFtZTgwNTIwNjUzNzM@._V1_SX300.jpg;['biography', 'drama', 'history']
tt0365737;movie;Syriana;Syriana;2005;4;2;2;;['drama', 'thriller']
tt0405508;movie;Rang De Basanti;Rang De Basanti;2006;4;1;3;https://m.media-amazon.com/images/M/MV5BYThmZDA0YmQtMWJhNy00MDQwLTk0Y2YtMDhmZTE5ZjhlNjliXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg;['comedy', 'crime', 'drama']
tt0070666;movie;Serpico;Serpico;1973;4;2;2;https://m.media-amazon.com/images/M/MV5BYTU4ZTI0NzAtYzMwNi00YmMxLThmZWItNTY5NzgyMDAwYWVhXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg;['biography', 'crime', 'drama']
tt6266538;movie;Vice;Vice;2018;4;2;2;;['biography', 'comedy', 'drama']
tt0054460;movie;The Bad Sleep Well;Warui yatsu hodo yoku nemuru;1960;4;2;2;;['crime', 'drama', 'thriller']
tt0027652;movie;Fury;Fury;1936;4;1;3;;['crime', 'drama', 'film-noir']
tt1247690;movie;Serena;Serena;2014;4;2;2;;['drama', 'history', 'romance']
tt0031679;movie;Mr. Smith Goes to Washington;Mr. Smith Goes to Washington;1939;4;1;3;https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg;['comedy', 'drama']
tt0164184;movie;The Sum of All Fears;The Sum of All Fears;2002;4;2;2;https://m.media-amazon.com/images/M/MV5BZmFiZDkyYWQtMGNkZi00YmZkLThjNzAtY2U1YTVmYmNlNThmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;['action', 'drama', 'thriller']
tt0387131;movie;The Constant Gardener;The Constant Gardener;2005;4;1;3;;['drama', 'mystery', 'romance']
tt1100089;movie;Foxcatcher;Foxcatcher;2014;4;3;1;https://m.media-amazon.com/images/M/MV5BMTQ2MjQxNjYxOV5BMl5BanBnXkFtZTgwMzIwODUxMzE@._V1_SX300.jpg;['biography', 'drama', 'history']
tt2304771;movie;Mandela: Long Walk to Freedom;Mandela: Long Walk to Freedom;2013;4;3;1;;['biography', 'drama', 'history']
tt0436697;movie;The Queen;The Queen;2006;4;3;1;;['biography', 'drama', 'history']
tt1007029;movie;The Iron Lady;The Iron Lady;2011;4;2;2;https://m.media-amazon.com/images/M/MV5BODEzNDUyMDE3NF5BMl5BanBnXkFtZTcwMTgzOTg3Ng@@._V1_SX300.jpg;['biography', 'drama']
tt0426578;movie;Sophie Scholl: The Final Days;Sophie Scholl - Die letzten Tage;2005;4;2;2;;['biography', 'crime', 'drama']
tt0119485;movie;Kundun;Kundun;1997;4;3;1;;['biography', 'drama', 'history']
tt0422720;movie;Marie Antoinette;Marie Antoinette;2006;4;3;1;https://m.media-amazon.com/images/M/MV5BNjBjZmNkNjYtYjI0Mi00NjhlLTk5MWItOTA2YzM4MzhhYzFmXkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_SX300.jpg;['biography', 'drama', 'history']
tt0113451;movie;Jade;Jade;1995;4;2;2;;['crime', 'drama', 'thriller']
tt0343737;movie;The Good Shepherd;The Good Shepherd;2006;4;3;1;;['drama', 'history', 'thriller']
tt0473705;movie;State of Play;State of Play;2009;4;1;3;;['crime', 'drama', 'mystery']
tt0071360;movie;The Conversation;The Conversation;1974;4;2;2;https://m.media-amazon.com/images/M/MV5BNzZlMThlYzktMDlmZC00YTI1LThlNzktZWU0MTY4ODc2ZWY4XkEyXkFqcGdeQXVyNTA1NjYyMDk@._V1_SX300.jpg;['drama', 'mystery', 'thriller']
tt0067372;movie;Macbeth;The Tragedy of Macbeth;1971;4;3;1;https://m.media-amazon.com/images/M/MV5BNzFlMGJiYjgtY2ZiZi00YmQzLWJiY2QtZDAyOTBlYzc2MGQ0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg;['biography', 'drama', 'history']
tt5175450;movie;Mark Felt: The Man Who Brought Down the White House;Mark Felt: The Man Who Brought Down the White House;2017;4;3;1;https://m.media-amazon.com/images/M/MV5BMjQzMDEwMjMyNF5BMl5BanBnXkFtZTgwNjA1NTA1MzI@._V1_SX300.jpg;['biography', 'drama', 'history']
tt2368254;movie;A Private War;A Private War;2018;4;2;2;;['biography', 'drama', 'war']
tt3387266;movie;A United Kingdom;A United Kingdom;2016;4;3;1;https://m.media-amazon.com/images/M/MV5BOGRhMjY4YjAtOGI4ZC00OTc1LTk0ZDUtMTBhNjMyMzEzMjc3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTgwMTQyNjY@._V1_SX300.jpg;['biography', 'drama', 'history']
tt5390504;movie;Detroit;Detroit;2017;4;2;2;https://m.media-amazon.com/images/M/MV5BMTg4MDk4MTUxMF5BMl5BanBnXkFtZTgwNDE5NjA5MjI@._V1_SX300.jpg;['crime', 'drama', 'history']
tt0291376;movie;Nayak: The Real Hero;Nayak: The Real Hero;2001;4;2;2;;['action', 'drama', 'thriller']
tt6053438;movie;First Reformed;First Reformed;2017;4;2;2;https://m.media-amazon.com/images/M/MV5BZDI1MGIyZDMtYjAyMy00ZWE1LTgzYjctYzM5MzczNjFjZWQwXkEyXkFqcGdeQXVyODQyNzE3MDg@._V1_SX300.jpg;['drama', 'mystery', 'thriller']
tt0120514;movie;Wilde;Wilde;1997;4;2;2;;['biography', 'drama', 'romance']
tt9784798;movie;Judas and the Black Messiah;Judas and the Black Messiah;2021;4;3;1;;['biography', 'drama', 'history']
tt0362225;movie;Tell No One;Ne le dis à personne;2006;4;1;3;https://m.media-amazon.com/images/M/MV5BMjA1NDcyMzY1Ml5BMl5BanBnXkFtZTcwNjc1MDY3MQ@@._V1_SX300.jpg;['crime', 'drama', 'mystery']
tt0116253;movie;Executive Decision;Executive Decision;1996;4;1;3;;['action', 'adventure', 'thriller']
tt0427969;movie;Hollywoodland;Hollywoodland;2006;4;2;2;;['biography', 'crime', 'drama']
tt6189022;movie;Angel Has Fallen;Angel Has Fallen;2019;4;1;3;;['action', 'thriller']
tt0268995;movie;The Majestic;The Majestic;2001;4;1;3;;['drama', 'romance']
tt0363473;movie;Beyond the Sea;Beyond the Sea;2004;4;2;2;;['biography', 'drama', 'music']
tt0102526;movie;New Jack City;New Jack City;1991;4;1;3;;['action', 'crime', 'drama']
tt0050371;movie;A Face in the Crowd;A Face in the Crowd;1957;4;1;3;;['drama', 'music']
tt0144214;movie;The General's Daughter;The General's Daughter;1999;4;1;3;;['crime', 'drama', 'mystery']
tt0035575;movie;Yankee Doodle Dandy;Yankee Doodle Dandy;1942;4;2;2;;['biography', 'drama', 'music']
tt0483726;movie;Man of the Year;Man of the Year;2006;4;1;3;;['comedy', 'drama', 'romance']
tt0060665;movie;A Man for All Seasons;A Man for All Seasons;1966;4;3;1;;['biography', 'drama', 'history']
tt0443632;movie;The Sentinel;The Sentinel;2006;4;1;3;https://m.media-amazon.com/images/M/MV5BMTQ4OTcyODc1N15BMl5BanBnXkFtZTcwNDE0MjYzMQ@@._V1_SX300.jpg;['action', 'crime', 'thriller']
tt0385887;movie;Motherless Brooklyn;Motherless Brooklyn;2019;4;1;3;;['crime', 'drama', 'mystery']
tt1276419;movie;A Royal Affair;En kongelig affære;2012;4;3;1;https://m.media-amazon.com/images/M/MV5BMTg3MDE4MTQ4NF5BMl5BanBnXkFtZTcwNDgwNDYyOA@@._V1_SX300.jpg;['biography', 'drama', 'history']
tt4781612;movie;Imperium;Imperium;2016;4;2;2;https://m.media-amazon.com/images/M/MV5BMTk5MzY4MDkwOV5BMl5BanBnXkFtZTgwMzY4MzczOTE@._V1_SX300.jpg;['biography', 'crime', 'drama']
tt0119123;movie;Fire Down Below;Fire Down Below;1997;4;2;2;;['action', 'drama', 'thriller']
tt0468569;movie;The Dark Knight;The Dark Knight;2008;4;1;3;https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg;['action', 'crime', 'drama']
tt4257858;movie;Going Clear: Scientology & the Prison of Belief;Going Clear: Scientology & the Prison of Belief;2015;4;1;3;https://m.media-amazon.com/images/M/MV5BZjYxYTA0MWQtYWViYi00YmRhLWEzNzctMDkwMGQ5ODFmM2FjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;['documentary']
tt5431890;movie;Official Secrets;Official Secrets;2019;4;2;2;;['biography', 'crime', 'drama']
tt2006295;movie;The 33;The 33;2015;4;3;1;;['biography', 'drama', 'history']
